TimeRemaining,Event,BicyclesTaken,BikeRemaining,CurrentProfit
120,N/A,N/A,10,300.0
119.26613041940878,Customer 1 arrives,3,7,300.0
119.1719209572696,Bike returned,-4,11,300.0
119.14052696291547,Customer 3 arrives,4,7,305.0
119.13832343449855,Customer 2 arrives,2,5,305.0
118.97540659354567,Customer 2 arrives,0,5,305.0
118.64869338959599,Customer 3 arrives,5,0,311.25
118.22650123383335,Customer 1 arrives,0,0,311.25
118.00929183766534,Bike returned,-3,3,311.25
117.62203676857267,Customer 2 arrives,1,2,311.25
117.13921997409297,Customer 3 arrives,2,0,313.75
117.08820371519103,Bike returned,-11,11,313.75
117.06626176490619,Customer 1 arrives,4,7,313.75
116.72827242327119,Customer 2 arrives,3,4,313.75
116.20111740589356,Bike returned,-3,7,313.75
116.03595206943639,Customer 1 arrives,1,6,313.75
116.03311895472518,Customer 3 arrives,4,2,318.75
115.84154673069719,Customer 3 arrives,2,0,321.25
115.4302693545418,Customer 2 arrives,0,0,320.5
115.20470343198888,Customer 1 arrives,0,0,318.5
115.00684450021997,Bike returned,-3,3,318.5
114.48871846737022,Customer 1 arrives,3,0,318.5
114.38294539448306,Bike returned,-6,6,318.5
114.10742350969464,Customer 2 arrives,1,5,318.5
114.01932601341144,Customer 3 arrives,4,1,323.5
113.25716277492342,Customer 3 arrives,1,0,324.75
113.25625666974639,Bike returned,-8,8,324.75
113.12305192889741,Customer 1 arrives,2,6,324.75
113.00758294850444,Customer 2 arrives,1,5,324.75
112.30014586734055,Customer 2 arrives,1,4,324.75
112.11508293527842,Customer 3 arrives,4,0,329.75
112.10550675683636,Bike returned,-9,9,329.75
112.06869708334347,Customer 1 arrives,2,7,329.75
111.18436720474656,Customer 2 arrives,3,4,329.75
111.12739577369373,Customer 1 arrives,3,1,329.75
111.12364557418883,Bike returned,-7,8,329.75
111.05503296792723,Customer 3 arrives,3,5,333.5
110.5297350481541,Customer 2 arrives,0,5,333.5
110.30334353353918,Customer 1 arrives,5,0,333.5
110.16143267922408,Bike returned,-1,1,333.5
110.0219053620059,Customer 3 arrives,1,0,334.75
109.3094921858422,Customer 3 arrives,0,0,334.75
109.14424433665722,Customer 1 arrives,0,0,329.75
109.09116372257333,Customer 2 arrives,0,0,329.5
109.01569272084905,Bike returned,-7,7,329.5
108.50761169002288,Customer 2 arrives,3,4,329.5
108.0724652311225,Customer 1 arrives,3,1,329.5
108.0636139605655,Customer 3 arrives,1,0,330.75
