TimeRemaining,Event,BicyclesTaken,BikeRemaining,CurrentProfit
120,N/A,N/A,10,300.0
119.10390531772279,Customer 3 arrives,3,7,303.75
119.05043146469468,Customer 2 arrives,2,5,303.75
119.0454967369926,Bike returned,-5,10,303.75
119.0300242123238,Customer 1 arrives,2,8,303.75
118.13020832045848,Customer 2 arrives,0,8,303.75
118.09301113584384,Customer 1 arrives,7,1,303.75
118.02720380176761,Bike returned,-4,5,303.75
118.0188679503512,Customer 3 arrives,3,2,307.5
117.12625504628579,Bike returned,-5,7,307.5
117.10728164161102,Customer 2 arrives,0,7,307.5
117.00819831090287,Customer 3 arrives,2,5,310.0
117.00105482540296,Customer 1 arrives,1,4,310.0
116.14638261420181,Customer 1 arrives,1,3,310.0
116.0587781732658,Customer 2 arrives,1,2,310.0
116.04994874666825,Bike returned,-10,12,310.0
116.02975009401065,Customer 3 arrives,4,8,315.0
115.28207111240211,Bike returned,-9,17,315.0
115.06084942889298,Customer 2 arrives,0,17,315.0
115.0415628358593,Customer 1 arrives,4,13,315.0
115.01616338125828,Customer 3 arrives,3,10,318.75
114.0869242916047,Bike returned,-10,20,318.75
114.08426580041817,Customer 1 arrives,2,18,318.75
114.0515063097938,Customer 3 arrives,3,15,322.5
114.0010364666499,Customer 2 arrives,3,12,322.5
113.18200116069282,Customer 1 arrives,3,9,322.5
113.10518164698324,Bike returned,-7,16,322.5
113.08028534219055,Customer 2 arrives,2,14,322.5
113.02047707433873,Customer 3 arrives,4,10,327.5
112.25323253257753,Bike returned,-5,15,327.5
112.24605332512765,Customer 2 arrives,2,13,327.5
112.04837520420358,Customer 3 arrives,1,12,328.75
112.0073766642481,Customer 1 arrives,1,11,328.75
111.03258240288652,Customer 2 arrives,3,8,328.75
111.02393160033857,Customer 3 arrives,5,3,335.0
111.02381884774893,Bike returned,-8,11,335.0
111.00666153748968,Customer 1 arrives,2,9,335.0
110.35015809691204,Customer 3 arrives,4,5,340.0
110.10795900001328,Bike returned,-5,10,340.0
110.02461348740943,Customer 2 arrives,1,9,340.0
110.01140348524156,Customer 1 arrives,4,5,340.0
109.2393199045914,Bike returned,-6,11,340.0
109.07409273231293,Customer 2 arrives,1,10,340.0
109.06378524160498,Customer 1 arrives,1,9,340.0
109.00448647857485,Customer 3 arrives,2,7,342.5
108.10298227197123,Customer 2 arrives,1,6,342.5
108.0785890509723,Customer 1 arrives,1,5,342.5
108.05308646924695,Bike returned,-6,11,342.5
108.00996222811901,Customer 3 arrives,4,7,347.5
107.16507301452862,Customer 1 arrives,2,5,347.5
107.04848364121233,Customer 2 arrives,0,5,347.5
107.00762104990623,Customer 3 arrives,1,4,348.75
107.00582418600604,Bike returned,-7,11,348.75
106.12393017667694,Customer 2 arrives,1,10,348.75
106.11941121122888,Customer 1 arrives,4,6,348.75
106.06896195349502,Bike returned,-2,8,348.75
106.00306279168167,Customer 3 arrives,2,6,351.25
105.07014397844105,Customer 1 arrives,3,3,351.25
105.02367785705776,Customer 3 arrives,3,0,355.0
105.01457754925183,Customer 2 arrives,0,0,354.75
105.00747758077634,Bike returned,-8,8,354.75
104.19490505864687,Customer 1 arrives,5,3,354.75
104.06179181623202,Customer 2 arrives,0,3,354.75
104.0385672233442,Bike returned,-6,9,354.75
104.02198836748383,Customer 3 arrives,7,2,363.5
103.04208071173264,Customer 1 arrives,2,0,363.5
103.01582350833756,Bike returned,-7,7,363.5
103.00294389584768,Customer 2 arrives,0,7,363.5
