TimeRemaining,Event,BicyclesTaken,BikeRemaining,CurrentProfit
120,N/A,N/A,10,300.0
119.04312099575773,Customer 2 arrives,2,8,300.0
119.03788069023898,Customer 3 arrives,3,5,303.75
119.01713567594801,Customer 1 arrives,5,0,299.75
119.00319358755945,Bike returned,-8,8,299.75
118.04356129221665,Customer 1 arrives,1,7,299.75
118.01847881101808,Customer 2 arrives,2,5,299.75
118.01597256040836,Bike returned,-6,11,299.75
118.0112878051842,Customer 3 arrives,5,6,306.0
117.30628438194047,Customer 2 arrives,0,6,306.0
117.15695693147227,Bike returned,-6,12,306.0
117.02767852590837,Customer 1 arrives,1,11,306.0
117.01346225261334,Customer 3 arrives,3,8,309.75
116.09540646587469,Customer 2 arrives,0,8,309.75
116.07008073942082,Customer 1 arrives,5,3,309.75
116.06686603811877,Bike returned,-4,7,309.75
116.02432947314445,Customer 3 arrives,3,4,313.5
115.15294331963963,Customer 1 arrives,1,3,313.5
115.0219091751154,Bike returned,-4,7,313.5
115.0178333788211,Customer 2 arrives,0,7,313.5
115.01425110804405,Customer 3 arrives,3,4,317.25
114.12550490438294,Bike returned,-7,11,317.25
114.0545902387993,Customer 3 arrives,4,7,322.25
114.02643674633913,Customer 1 arrives,1,6,322.25
114.02596693167015,Customer 2 arrives,0,6,322.25
113.06560271574179,Customer 1 arrives,3,3,322.25
113.02661231378335,Customer 2 arrives,1,2,322.25
113.0223428520024,Bike returned,-4,6,322.25
113.01272386012188,Customer 3 arrives,2,4,324.75
112.10353500680039,Customer 3 arrives,4,0,329.75
112.06171289352307,Customer 2 arrives,0,0,329.75
112.04961640205283,Customer 1 arrives,0,0,323.75
112.00011330870623,Bike returned,-2,2,323.75
111.04458364473862,Bike returned,-9,11,323.75
111.03300017687675,Customer 2 arrives,1,10,323.75
111.01393299265662,Customer 1 arrives,1,9,323.75
111.01183944840078,Customer 3 arrives,5,4,330.0
110.11146326248296,Customer 2 arrives,0,4,330.0
110.10213921000988,Bike returned,-4,8,330.0
110.09804961480177,Customer 3 arrives,4,4,335.0
110.09387791119421,Customer 1 arrives,2,2,335.0
109.13580647095287,Bike returned,-8,10,335.0
109.08087743158259,Customer 3 arrives,2,8,337.5
109.03281901203869,Customer 1 arrives,2,6,337.5
109.01658672215036,Customer 2 arrives,1,5,337.5
108.22235592329758,Customer 2 arrives,1,4,337.5
108.11507112156937,Customer 1 arrives,0,4,337.5
108.10339767923327,Bike returned,-2,6,337.5
108.00276402931284,Customer 3 arrives,4,2,342.5
107.04587155088984,Customer 3 arrives,2,0,345.0
107.0430417527139,Bike returned,-9,9,345.0
107.03312342639292,Customer 2 arrives,0,9,345.0
107.02353434236505,Customer 1 arrives,3,6,345.0
106.0857140285811,Customer 3 arrives,3,3,348.75
106.04525696147361,Customer 2 arrives,0,3,348.75
106.00444199573845,Customer 1 arrives,3,0,348.75
106.00134238063652,Bike returned,-5,5,348.75
105.21068835528293,Bike returned,-4,9,348.75
105.14502955523632,Customer 1 arrives,4,5,348.75
105.05535637567189,Customer 2 arrives,1,4,348.75
105.02389484489201,Customer 3 arrives,1,3,350.0
104.08420515511578,Customer 3 arrives,3,0,353.75
104.05997983778855,Customer 1 arrives,0,0,347.75
104.03993801137814,Bike returned,-5,5,347.75
104.03644731664721,Customer 2 arrives,1,4,347.75
103.10313823810463,Customer 3 arrives,4,0,352.75
103.03213485909316,Customer 1 arrives,0,0,352.75
103.00935444910162,Customer 2 arrives,0,0,352.0
103.00076082584174,Bike returned,-6,6,352.0
102.05345451124705,Customer 1 arrives,2,4,352.0
102.04842866757953,Customer 3 arrives,2,2,354.5
102.01299277603664,Bike returned,-6,8,354.5
102.00932243040836,Customer 2 arrives,1,7,354.5
101.2755878587094,Bike returned,-5,12,354.5
101.2722074745097,Customer 3 arrives,4,8,359.5
