TimeRemaining,Event,BicyclesTaken,BikeRemaining,CurrentProfit
120,N/A,N/A,10,300.0
119.21446400224191,Customer 3 arrives,2,8,302.5
119.07984774225478,Bike returned,-12,20,302.5
119.06752526513594,Customer 2 arrives,0,20,302.5
119.05920014310371,Customer 1 arrives,1,19,302.5
118.0524658246857,Customer 2 arrives,1,18,302.5
118.03819573349081,Customer 3 arrives,2,16,305.0
118.01031100019104,Customer 1 arrives,6,10,305.0
118.00470733436205,Bike returned,-7,17,305.0
117.21181291710788,Customer 3 arrives,4,13,310.0
117.06079288991923,Customer 2 arrives,0,13,310.0
117.04250063432539,Bike returned,-10,23,310.0
117.02052132458694,Customer 1 arrives,1,22,310.0
116.03986333307694,Customer 1 arrives,3,19,310.0
116.03751224084452,Customer 2 arrives,0,19,310.0
116.03571549309153,Bike returned,-5,24,310.0
116.01174338732936,Customer 3 arrives,2,22,312.5
115.20957356755505,Customer 3 arrives,2,20,315.0
115.09757775154574,Customer 1 arrives,6,14,315.0
115.01320807701143,Bike returned,-6,20,315.0
115.00231877147105,Customer 2 arrives,1,19,315.0
114.1308587155032,Customer 1 arrives,2,17,315.0
114.07064610530439,Customer 2 arrives,2,15,315.0
114.01971342316088,Bike returned,-6,21,315.0
114.01175825385667,Customer 3 arrives,4,17,320.0
113.08708834667102,Bike returned,-0,17,320.0
113.0468027117884,Customer 3 arrives,8,9,330.0
113.01902773415847,Customer 1 arrives,1,8,330.0
113.00769346907492,Customer 2 arrives,1,7,330.0
112.17548602981205,Customer 3 arrives,1,6,331.25
112.09805060569998,Customer 2 arrives,2,4,331.25
112.0663630579377,Bike returned,-9,13,331.25
112.01563251921058,Customer 1 arrives,1,12,331.25
111.07498028424007,Customer 1 arrives,7,5,331.25
111.07099338672127,Customer 3 arrives,1,4,332.5
111.05339776180801,Bike returned,-8,12,332.5
111.0220218705231,Customer 2 arrives,0,12,332.5
110.08949863424178,Bike returned,-6,18,332.5
110.08439388551233,Customer 1 arrives,2,16,332.5
110.06648514812404,Customer 3 arrives,3,13,336.25
110.03999192074166,Customer 2 arrives,0,13,336.25
109.08610314863924,Customer 2 arrives,1,12,336.25
109.06151639503926,Customer 3 arrives,2,10,338.75
109.04048814494207,Bike returned,-7,17,338.75
109.00641132439746,Customer 1 arrives,3,14,338.75
108.11855491642793,Customer 3 arrives,1,13,340.0
108.05185285672111,Customer 1 arrives,3,10,340.0
108.03372255478446,Customer 2 arrives,4,6,340.0
108.00488194806864,Bike returned,-4,10,340.0
107.06694191185886,Bike returned,-5,15,340.0
107.06076872243254,Customer 2 arrives,1,14,340.0
107.05585533468096,Customer 3 arrives,3,11,343.75
107.01720438269949,Customer 1 arrives,4,7,343.75
106.22141637837642,Customer 1 arrives,3,4,343.75
106.02411441566322,Customer 3 arrives,2,2,346.25
106.01452388774234,Customer 2 arrives,1,1,346.25
106.00397436036334,Bike returned,-8,9,346.25
105.04653816436573,Customer 2 arrives,2,7,346.25
105.03628120665017,Customer 1 arrives,2,5,346.25
105.02424777756617,Bike returned,-2,7,346.25
105.00972934905127,Customer 3 arrives,7,0,355.0
104.108512985383,Bike returned,-9,9,355.0
104.06212761813595,Customer 2 arrives,2,7,355.0
104.0540084075379,Customer 3 arrives,6,1,362.5
104.04489706169187,Customer 1 arrives,1,0,361.5
103.10157581054958,Customer 2 arrives,0,0,361.25
103.03138606692917,Customer 3 arrives,0,0,361.25
103.02280006824932,Customer 1 arrives,0,0,359.25
103.01221153567802,Bike returned,-8,8,359.25
102.09217942106832,Customer 2 arrives,2,6,359.25
102.06894074754719,Bike returned,-8,14,359.25
102.04714166352942,Customer 3 arrives,3,11,363.0
102.02304323612734,Customer 1 arrives,7,4,363.0
101.07566752762938,Bike returned,-6,10,363.0
101.02536430130111,Customer 2 arrives,0,10,363.0
101.0193808824427,Customer 1 arrives,3,7,363.0
101.00301473130682,Customer 3 arrives,6,1,370.5
100.07411611922356,Customer 2 arrives,1,0,370.5
100.06196042932311,Customer 1 arrives,0,0,369.5
100.03078442450854,Customer 3 arrives,0,0,369.5
100.00116883043356,Bike returned,-5,5,369.5
99.06912905152498,Customer 2 arrives,0,5,369.5
99.06069716065176,Bike returned,-10,15,369.5
99.05778264974775,Customer 3 arrives,3,12,373.25
99.02107010364416,Customer 1 arrives,6,6,373.25
98.12727996861749,Customer 2 arrives,3,3,373.25
98.08379947787923,Bike returned,-8,11,373.25
98.07922575809579,Customer 1 arrives,4,7,373.25
98.06497327939535,Customer 3 arrives,3,4,377.0
97.21602228493278,Customer 2 arrives,0,4,377.0
97.07071146947334,Customer 1 arrives,2,2,377.0
97.00296909878128,Customer 3 arrives,2,0,379.5
97.00281572380109,Bike returned,-7,7,379.5
96.03917551096903,Bike returned,-10,17,379.5
96.038321780166,Customer 3 arrives,1,16,380.75
96.01106349282456,Customer 2 arrives,0,16,380.75
96.00207319126369,Customer 1 arrives,4,12,380.75
95.04010477834096,Customer 1 arrives,8,4,380.75
95.0387099982089,Customer 3 arrives,1,3,382.0
95.0159940824653,Customer 2 arrives,0,3,382.0
95.0064468612411,Bike returned,-5,8,382.0
94.07186734537586,Customer 3 arrives,8,0,392.0
94.04775936918695,Customer 1 arrives,0,0,387.0
94.02670564082067,Bike returned,-8,8,387.0
94.00533304829708,Customer 2 arrives,0,8,387.0
93.15897298733452,Customer 2 arrives,0,8,387.0
93.12215099254904,Bike returned,-5,13,387.0
93.11256178159998,Customer 3 arrives,8,5,397.0
93.03399455581562,Customer 1 arrives,1,4,397.0
92.05727728440814,Bike returned,-5,9,397.0
92.02184431519386,Customer 1 arrives,2,7,397.0
92.02166782358232,Customer 3 arrives,4,3,402.0
92.01612654557766,Customer 2 arrives,1,2,402.0
91.11009480489864,Bike returned,-4,6,402.0
91.10673165614939,Customer 3 arrives,3,3,405.75
91.0494666132501,Customer 1 arrives,3,0,403.75
91.04139929329463,Customer 2 arrives,0,0,403.75
90.1103644913642,Customer 1 arrives,0,0,401.75
90.03807151881571,Bike returned,-4,4,401.75
