TimeRemaining,Event,BicyclesTaken,BikeRemaining,CurrentProfit
120,N/A,N/A,10,300.0
119.61674938412757,Customer 3 arrives,6,4,307.5
119.06270381517261,Customer 1 arrives,2,2,307.5
119.05084078314735,Bike returned,-5,7,307.5
119.00551777288923,Customer 2 arrives,0,7,307.5
118.37850703252603,Customer 3 arrives,3,4,311.25
118.13379253043355,Bike returned,-7,11,311.25
118.11872455070362,Customer 1 arrives,3,8,311.25
118.09876501090785,Customer 2 arrives,0,8,311.25
117.61689565535686,Customer 3 arrives,2,6,313.75
117.23565815726278,Customer 1 arrives,4,2,313.75
117.21083179041754,Bike returned,-5,7,313.75
117.12471162551893,Customer 2 arrives,2,5,313.75
116.62269320700028,Customer 2 arrives,1,4,313.75
116.1977705413413,Customer 3 arrives,4,0,318.75
116.09827136311675,Customer 1 arrives,0,0,315.75
116.01622970578622,Bike returned,-7,7,315.75
115.39058305226823,Customer 3 arrives,5,2,322.0
115.13626154847871,Customer 2 arrives,0,2,322.0
115.11415557518427,Customer 1 arrives,2,0,322.0
115.06521859662645,Bike returned,-4,4,322.0
114.91140084236373,Customer 2 arrives,0,4,322.0
114.46858848012286,Customer 3 arrives,4,0,327.0
114.14749669748713,Customer 1 arrives,0,0,326.0
114.04840535751735,Bike returned,-5,5,326.0
113.57901979903359,Customer 2 arrives,0,5,326.0
113.47080966277217,Customer 1 arrives,1,4,326.0
113.14649469303633,Customer 3 arrives,4,0,331.0
113.13151103392123,Bike returned,-6,6,331.0
112.3332047274568,Customer 2 arrives,0,6,331.0
112.22011330445663,Customer 1 arrives,4,2,331.0
112.050611163573,Customer 3 arrives,2,0,333.5
112.03096639473172,Bike returned,-5,5,333.5
111.63464745111929,Customer 3 arrives,5,0,339.75
111.40531172946302,Customer 2 arrives,0,0,339.0
111.17147579461847,Customer 1 arrives,0,0,336.0
111.13471025723135,Bike returned,-4,4,336.0
110.27454377396292,Customer 2 arrives,0,4,336.0
110.2446112594452,Customer 3 arrives,4,0,341.0
110.18058939884759,Customer 1 arrives,0,0,338.0
110.02439629402957,Bike returned,-10,10,338.0
109.69568308443954,Customer 1 arrives,4,6,338.0
109.56569074788347,Customer 3 arrives,4,2,343.0
109.22364924737822,Customer 2 arrives,2,0,343.0
109.09113028743188,Bike returned,-2,2,343.0
108.31375906200034,Bike returned,-4,6,343.0
108.07261011383312,Customer 2 arrives,0,6,343.0
108.05837005447091,Customer 3 arrives,5,1,349.25
108.02376341733323,Customer 1 arrives,1,0,347.25
107.84414265055199,Customer 3 arrives,0,0,347.25
107.02703703248058,Bike returned,-5,5,347.25
107.01924920177086,Customer 1 arrives,4,1,347.25
