TimeRemaining,Event,BicyclesTaken,BikeRemaining,CurrentProfit
120,N/A,N/A,10,300.0
119.38003424897235,Customer 1 arrives,3,7,300.0
119.19132071850396,Bike returned,-2,9,300.0
119.08029292298785,Customer 3 arrives,4,5,305.0
119.04011158293832,Customer 2 arrives,0,5,305.0
118.64231174434656,Customer 1 arrives,1,4,305.0
118.1482714168104,Customer 2 arrives,0,4,305.0
118.11344009202658,Bike returned,-8,12,305.0
118.11040172165028,Customer 3 arrives,3,9,308.75
117.80051804178004,Customer 2 arrives,2,7,308.75
117.3475527745296,Bike returned,-3,10,308.75
117.1846024533376,Customer 3 arrives,2,8,311.25
117.06739509063493,Customer 1 arrives,1,7,311.25
116.85297573586304,Customer 2 arrives,1,6,311.25
116.21939173734764,Customer 3 arrives,3,3,315.0
116.16504565547524,Bike returned,-9,12,315.0
116.13704915024154,Customer 1 arrives,3,9,315.0
115.33683553036612,Customer 2 arrives,2,7,315.0
115.33013648101134,Customer 1 arrives,3,4,315.0
115.03086657821432,Bike returned,-4,8,315.0
115.02600981610702,Customer 3 arrives,4,4,320.0
114.36137673050857,Customer 2 arrives,1,3,320.0
114.07454173252519,Customer 1 arrives,3,0,317.0
114.0445667613371,Bike returned,-7,7,317.0
114.01496616559002,Customer 3 arrives,5,2,323.25
113.70244134534838,Customer 2 arrives,1,1,323.25
113.6436451351789,Customer 1 arrives,1,0,321.25
113.42870623478002,Bike returned,-9,9,321.25
113.13639182475707,Customer 3 arrives,3,6,325.0
112.3871320389199,Customer 2 arrives,1,5,325.0
112.35067322106411,Customer 3 arrives,5,0,331.25
112.22016177582799,Bike returned,-6,6,331.25
112.03526471773507,Customer 1 arrives,2,4,331.25
111.24675885378583,Bike returned,-6,10,331.25
111.14009869622336,Customer 1 arrives,2,8,331.25
111.03633763273388,Customer 2 arrives,0,8,331.25
111.01484473719229,Customer 3 arrives,1,7,332.5
110.54460716948161,Customer 1 arrives,2,5,332.5
110.11801684246575,Customer 3 arrives,3,2,336.25
110.10370259928447,Customer 2 arrives,2,0,336.0
110.06040655987263,Bike returned,-8,8,336.0
109.7122858055957,Customer 3 arrives,1,7,337.25
109.20138383579959,Bike returned,-8,15,337.25
109.12048678932454,Customer 2 arrives,1,14,337.25
109.0817809764047,Customer 1 arrives,1,13,337.25
108.4438516314128,Customer 1 arrives,2,11,337.25
108.41703864444355,Customer 3 arrives,2,9,339.75
108.10088446742611,Customer 2 arrives,2,7,339.75
108.06618528423161,Bike returned,-4,11,339.75
107.6561017474663,Customer 2 arrives,0,11,339.75
107.47648359692634,Customer 3 arrives,5,6,346.0
107.3624159911055,Bike returned,-6,12,346.0
107.12890760666778,Customer 1 arrives,5,7,346.0
106.53302433109789,Customer 2 arrives,0,7,346.0
106.36494519119539,Customer 3 arrives,6,1,353.5
106.32766361610274,Customer 1 arrives,1,0,353.5
106.02606939910808,Bike returned,-4,4,353.5
105.64107005584736,Customer 2 arrives,0,4,353.5
105.4303834705742,Customer 1 arrives,1,3,353.5
105.33547426563409,Bike returned,-10,13,353.5
105.1503080838379,Customer 3 arrives,7,6,362.25
104.31385869775004,Customer 1 arrives,4,2,362.25
104.07304123210398,Customer 3 arrives,2,0,364.75
104.0334964950529,Customer 2 arrives,0,0,364.75
104.02574208711653,Bike returned,-6,6,364.75
103.19474524705937,Customer 2 arrives,1,5,364.75
103.07843950644528,Bike returned,-12,17,364.75
103.04987881127178,Customer 3 arrives,2,15,367.25
103.01373770649572,Customer 1 arrives,2,13,367.25
102.28748576205956,Bike returned,-4,17,367.25
102.15037341144804,Customer 1 arrives,3,14,367.25
102.11938164105455,Customer 3 arrives,4,10,372.25
102.03445932687337,Customer 2 arrives,0,10,372.25
101.8887515832725,Customer 2 arrives,0,10,372.25
101.25888254043701,Customer 3 arrives,3,7,376.0
101.2254591818812,Bike returned,-7,14,376.0
101.15469334566889,Customer 1 arrives,7,7,376.0
100.41125587591573,Bike returned,-5,12,376.0
100.20179423350461,Customer 3 arrives,11,1,389.75
100.15598977181271,Customer 1 arrives,1,0,383.75
100.03688843515272,Customer 2 arrives,0,0,382.75
99.91386968014113,Customer 2 arrives,0,0,382.75
99.43505629146696,Customer 1 arrives,0,0,379.75
99.3024988020297,Bike returned,-4,4,379.75
99.19990969717378,Customer 3 arrives,3,1,383.5
98.9772278935102,Customer 2 arrives,1,0,383.5
98.45086903893757,Bike returned,-8,8,383.5
98.37639964683106,Customer 1 arrives,7,1,383.5
98.14298229511732,Customer 3 arrives,1,0,384.75
97.21152413800843,Bike returned,-4,4,384.75
97.20130036624184,Customer 1 arrives,3,1,384.75
97.03914366886065,Customer 2 arrives,1,0,384.75
97.01267256401204,Customer 3 arrives,0,0,384.75
96.64104315840979,Customer 2 arrives,0,0,384.75
96.28132352337857,Customer 3 arrives,0,0,384.75
96.1206825889663,Bike returned,-5,5,384.75
96.05436940926823,Customer 1 arrives,0,5,384.75
95.72193756769914,Customer 2 arrives,3,2,384.75
95.35643351019189,Customer 3 arrives,1,1,386.0
95.1864335285,Customer 1 arrives,1,0,385.0
95.01705547560071,Bike returned,-6,6,385.0
94.79775334748912,Customer 2 arrives,0,6,385.0
94.39578899825659,Bike returned,-8,14,385.0
94.22371157150016,Customer 3 arrives,7,7,393.75
94.00604598936775,Customer 1 arrives,2,5,393.75
93.95026066658149,Customer 2 arrives,0,5,393.75
93.23984452248683,Customer 1 arrives,4,1,393.75
